seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
92,0.206331,595,0.204190,3675,73,1510,2001,319798921587,95935956483331,163432500267302,0,never,480,0,0.206331,4010395152634,22,16,38,14
93,0.206089,595,0.203853,3460,59,1558,2001,298724250561,96117448544814,183325724529944,0,never,480,0,0.206089,4074272110961,18,12,42,16
94,0.206570,595,0.204412,3574,55,1570,2001,309496372174,94771881279070,165703082019577,0,never,485,0,0.206570,4007604582276,28,19,32,12
95,0.225482,595,0.223011,3514,51,1549,2001,347280060587,101203635195598,186761177716428,0,never,485,0,0.225482,4225528612347,21,18,39,14
96,0.197414,590,0.195272,3856,63,1520,2001,341278944681,89991514045072,166726467532366,0,never,480,0,0.197414,3959400404776,22,16,38,12
97,0.213506,590,0.211215,4084,47,1530,2001,326814677799,101208412303803,179912875816349,0,never,485,0,0.213506,4120274318290,21,19,39,16
98,0.206889,595,0.204670,3952,56,1544,2001,306281677760,93465324973307,165120730477301,0,never,480,0,0.206889,3989057863253,25,17,35,17
99,0.199791,595,0.197613,3734,31,1527,2001,346900800079,90964123438487,167970445717509,0,never,480,0,0.199791,3977073244468,26,20,34,19
100,0.204376,595,0.204385,3851,49,1503,2001,337022757318,100792893371988,188635702159111,0,never,490,0,0.204376,4230151429476,27,22,33,11
101,0.234283,590,0.231911,3965,51,1549,2001,266597768100,99769339525477,175811440481883,0,never,490,0,0.234283,4057367918310,29,22,31,10
102,0.207124,595,0.204975,3849,62,1538,2001,306287457477,98213916399983,171194657349055,0,never,480,0,0.207124,4030254170313,24,20,36,12
103,0.205719,595,0.203501,4121,50,1515,2001,325641267844,99623015729762,186328943193180,0,never,485,0,0.205719,4145533277680,24,18,36,15
104,0.227568,595,0.225079,3809,45,1563,2001,387298316006,105925131715480,191951569067208,0,never,490,0,0.227568,4165635658215,24,17,36,14
105,0.217598,595,0.217561,3870,56,1497,2001,364069878535,102990809093527,187748936839514,0,never,490,0,0.217598,4176955554881,29,27,31,11
106,0.199628,590,0.197479,3860,59,1527,2001,372723901517,96437596901489,176267863763960,0,never,485,0,0.199628,4015997443617,24,16,36,10
107,0.209694,590,0.207480,3653,47,1544,2001,406757934045,97411340128893,184250639850660,0,never,485,0,0.209694,4099382584301,20,15,40,17
108,0.216489,590,0.214231,4078,59,1570,2001,313924143887,91700240219291,159263047744630,0,never,485,0,0.216489,3942442756050,23,17,37,16
109,0.212503,595,0.210172,3870,58,1534,2001,316952237179,94656901427274,172104090629767,0,never,490,0,0.212503,4098292788676,27,26,33,9
110,0.206794,595,0.204543,3981,38,1518,2001,339620587815,98065284253964,175824393978998,0,never,485,0,0.206794,4051488950207,31,23,29,9
111,0.209841,590,0.207546,3763,55,1538,2001,310629869505,91130218847424,166009790681879,0,never,480,0,0.209841,4005666162722,23,14,37,13
112,0.197603,595,0.195489,3734,55,1567,2001,333253344857,94408701910107,162575451379119,0,never,480,0,0.197603,4033454622992,22,15,38,14
113,0.210474,590,0.208198,3866,57,1535,2001,428478681194,102268606450397,196717627135892,0,never,485,0,0.210474,4276115300806,26,24,34,7
114,0.225152,595,0.222724,3506,58,1576,2001,355013210041,99685099604629,178955431618865,0,never,490,0,0.225152,4031773378477,19,16,41,21
115,0.200376,595,0.198204,3862,62,1525,2001,275406704843,89191206182819,154391030181439,0,never,480,0,0.200376,3941397106777,22,19,38,13
116,0.206868,590,0.204628,3790,57,1560,2001,292380715273,91335694992428,168489647781855,0,never,485,0,0.206868,3989171209108,23,17,37,18
